PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] Cast: in=[(512, 3, 224, 224)] -> out=(512, 3, 224, 224) | time=96.68 ms | drv used/total=1.67 GB/85.10 GB | pool used/total=1.17 GB/1.17 GB
[PROFILE] Pad: in=[(512, 3, 224, 224)] -> out=(512, 3, 225, 225) | time=299.34 ms | drv used/total=1.81 GB/85.10 GB | pool used/total=1.28 GB/1.28 GB
[PROFILE] SlidingWindowView: in=[(512, 3, 225, 225)] -> out=(512, 3, 112, 112, 3, 3) | time=80.40 ms | drv used/total=1.84 GB/85.10 GB | pool used/total=1.31 GB/1.31 GB
[PROFILE] Cast: in=[(32, 3, 3, 3)] -> out=(32, 3, 3, 3) | time=161.1 μs | drv used/total=1.84 GB/85.10 GB | pool used/total=1.31 GB/1.31 GB
[PROFILE] EinSum: in=[(512, 3, 112, 112, 3, 3), (32, 3, 3, 3)] -> out=(512, 32, 112, 112) | time=268.10 ms | drv used/total=4.23 GB/85.10 GB | pool used/total=1.82 GB/3.68 GB
[PROFILE] Mean: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=195.48 ms | drv used/total=4.23 GB/85.10 GB | pool used/total=1.89 GB/3.68 GB
[PROFILE] Var: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=477.08 ms | drv used/total=4.23 GB/85.10 GB | pool used/total=2.06 GB/3.68 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 112, 112), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 112, 112) | time=581.37 ms | drv used/total=5.05 GB/85.10 GB | pool used/total=2.57 GB/4.50 GB
[PROFILE] ReLU6: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112) | time=77.46 ms | drv used/total=5.05 GB/85.10 GB | pool used/total=2.98 GB/4.50 GB
[PROFILE] Pad: in=[(512, 32, 112, 112)] -> out=(512, 32, 114, 114) | time=22.73 ms | drv used/total=4.23 GB/85.10 GB | pool used/total=3.00 GB/3.68 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 114, 114)] -> out=(512, 32, 112, 112, 3, 3) | time=1.55 ms | drv used/total=4.23 GB/85.10 GB | pool used/total=3.00 GB/3.68 GB
[PROFILE] Cast: in=[(32, 3, 3)] -> out=(32, 3, 3) | time=76.9 μs | drv used/total=4.23 GB/85.10 GB | pool used/total=3.00 GB/3.68 GB
[PROFILE] EinSum: in=[(512, 32, 112, 112, 3, 3), (32, 3, 3)] -> out=(512, 32, 112, 112) | time=187.02 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=3.41 GB/16.01 GB
[PROFILE] Mean: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=6.69 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=3.41 GB/16.01 GB
[PROFILE] Var: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=204.31 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=3.41 GB/16.01 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 112, 112), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 112, 112) | time=6.12 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=3.82 GB/16.01 GB
[PROFILE] ReLU6: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112) | time=1.27 ms | drv used/total=16.56 GB/85.10 GB | pool used/total=4.23 GB/16.01 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112, 1, 1) | time=396.8 μs | drv used/total=16.56 GB/85.10 GB | pool used/total=4.23 GB/16.01 GB
