[PROFILING DEMO] Training for 10 steps with enhanced memory+timing profiler
[TRAIN] BATCH_SIZE=512, ACCUM_STEPS=1
[MEMORY] Enhanced MemoryMonitor: memory + timing enabled

🔥 Starting enhanced profiling (memory + timing)...

--- Step 1/10 ---
[PROFILE] Cast: in=[(512, 3, 224, 224)] -> out=(512, 3, 224, 224) | time=1.66 ms | drv used/total=1.63 GB/85.10 GB | pool used/total=1.13 GB/1.13 GB
[PROFILE] Pad: in=[(512, 3, 224, 224)] -> out=(512, 3, 225, 225) | time=8.94 ms | drv used/total=1.64 GB/85.10 GB | pool used/total=1.13 GB/1.13 GB
[PROFILE] SlidingWindowView: in=[(512, 3, 225, 225)] -> out=(512, 3, 112, 112, 3, 3) | time=7.15 ms | drv used/total=1.64 GB/85.10 GB | pool used/total=1.13 GB/1.14 GB
[PROFILE] Cast: in=[(32, 3, 3, 3)] -> out=(32, 3, 3, 3) | time=103.0 μs | drv used/total=1.64 GB/85.10 GB | pool used/total=1.13 GB/1.14 GB
[PROFILE] EinSum: in=[(512, 3, 112, 112, 3, 3), (32, 3, 3, 3)] -> out=(512, 32, 112, 112) | time=90.95 ms | drv used/total=3.96 GB/85.10 GB | pool used/total=1.58 GB/3.44 GB
[PROFILE] Mean: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=9.17 ms | drv used/total=3.96 GB/85.10 GB | pool used/total=1.58 GB/3.44 GB
[PROFILE] Var: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=12.08 ms | drv used/total=3.96 GB/85.10 GB | pool used/total=1.59 GB/3.44 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 112, 112), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 112, 112) | time=10.82 ms | drv used/total=4.78 GB/85.10 GB | pool used/total=2.00 GB/4.26 GB
[PROFILE] ReLU6: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112) | time=3.18 ms | drv used/total=4.78 GB/85.10 GB | pool used/total=2.42 GB/4.26 GB
[PROFILE] Pad: in=[(512, 32, 112, 112)] -> out=(512, 32, 114, 114) | time=4.62 ms | drv used/total=3.96 GB/85.10 GB | pool used/total=2.43 GB/3.44 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 114, 114)] -> out=(512, 32, 112, 112, 3, 3) | time=5.86 ms | drv used/total=3.96 GB/85.10 GB | pool used/total=2.43 GB/3.44 GB
[PROFILE] Cast: in=[(32, 3, 3)] -> out=(32, 3, 3) | time=305.9 μs | drv used/total=3.96 GB/85.10 GB | pool used/total=2.43 GB/3.44 GB
[PROFILE] EinSum: in=[(512, 32, 112, 112, 3, 3), (32, 3, 3)] -> out=(512, 32, 112, 112) | time=45.18 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=2.86 GB/15.77 GB
[PROFILE] Mean: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=3.03 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=2.86 GB/15.77 GB
[PROFILE] Var: in=[(512, 32, 112, 112)] -> out=(1, 32, 1, 1) | time=6.78 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=2.86 GB/15.77 GB
[PROFILE] BatchNormalizer: in=[(512, 32, 112, 112), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1), (1, 32, 1, 1)] -> out=(512, 32, 112, 112) | time=6.40 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.27 GB/15.77 GB
[PROFILE] ReLU6: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112) | time=1.40 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.69 GB/15.77 GB
[PROFILE] SlidingWindowView: in=[(512, 32, 112, 112)] -> out=(512, 32, 112, 112, 1, 1) | time=1.59 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.69 GB/15.77 GB
[PROFILE] Cast: in=[(16, 32, 1, 1)] -> out=(16, 32, 1, 1) | time=78.0 μs | drv used/total=16.29 GB/85.10 GB | pool used/total=3.69 GB/15.77 GB
[PROFILE] EinSum: in=[(512, 32, 112, 112, 1, 1), (16, 32, 1, 1)] -> out=(512, 16, 112, 112) | time=6.43 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.89 GB/15.77 GB
[PROFILE] Mean: in=[(512, 16, 112, 112)] -> out=(1, 16, 1, 1) | time=1.59 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.89 GB/15.77 GB
[PROFILE] Var: in=[(512, 16, 112, 112)] -> out=(1, 16, 1, 1) | time=3.56 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=3.90 GB/15.77 GB
[PROFILE] BatchNormalizer: in=[(512, 16, 112, 112), (1, 16, 1, 1), (1, 16, 1, 1), (1, 16, 1, 1), (1, 16, 1, 1)] -> out=(512, 16, 112, 112) | time=3.58 ms | drv used/total=16.29 GB/85.10 GB | pool used/total=4.11 GB/15.77 GB
[PROFILE] Passthrough: in=[(512, 16, 112, 112)] -> out=(512, 16, 112, 112) | time=25.4 μs | drv used/total=16.29 GB/85.10 GB | pool used/total=4.11 GB/15.77 GB
[PROFILE] SlidingWindowView: in=[(512, 16, 112, 112)] -> out=(512, 16, 112, 112, 1, 1) | time=355.7 μs | drv used/total=16.29 GB/85.10 GB | pool used/total=4.11 GB/15.77 GB
[PROFILE] Cast: in=[(96, 16, 1, 1)] -> out=(96, 16, 1, 1) | time=152.8 μs | drv used/total=16.29 GB/85.10 GB | pool used/total=4.11 GB/15.77 GB
